Latitude,Longitude,Pays
-17.8848761,-47.0555216,Brazil
-17.9053187,-54.6918418,Brazil
-17.9708723,145.7775222,Australia
-17.9709054,-50.6780272,Brazil
-17.9842254,-54.2288612,Brazil
-17.9956352,-45.8399609,Brazil
-18.0002244,-49.6267063,Brazil
-18.0065853,-43.3847697,Brazil
-18.015992,-54.4518188,Brazil
-18.09343,144.41197,Australia
-18.1076848,140.3636443,Australia
-18.1201438,-46.8250619,Brazil
-18.1232877,-44.2847964,Brazil
-18.1736724,-49.7577828,Brazil
-18.208333,-49.7547993,Brazil
-18.2381392,-47.8374356,Brazil
-18.2571048,-42.8151061,Brazil
-18.28816,143.57426,Australia
-18.2900433,-44.2186979,Brazil
-18.3734221,-44.5226939,Brazil
-18.3820679,-46.8889161,Brazil
-18.3959145,-47.180872,Brazil
-18.4328667,127.4397329,Australia
-18.4703645,-52.6100241,Brazil
-18.4743978,-39.7625678,Brazil
-18.5261599,136.0041194,Australia
-18.5725726,125.7624823,Australia
-18.5781494,-43.572052,Brazil
-18.5889569,136.0352723,Australia
-18.6064523,-43.3811667,Brazil
-18.6120874,-52.9678088,Brazil
-18.6271879,-51.605683,Brazil
-18.6351735,126.9872367,Australia
-18.6406818,-66.3401803,Bolivia
-18.6415701,-49.7012459,Brazil
-18.6749841,16.8964359,Namibia
-18.6841742,21.8924206,Botswana
-18.7014892,-47.7953573,Brazil
-18.7163054,-39.836874,Brazil
-18.7223017,-39.8711791,Brazil
-18.74229,140.5035871,Australia
-18.7438077,126.1621271,Australia
-18.7545247,-39.7530911,Brazil
-18.7816551,-70.1874822,Chile
-18.7921611,134.03108,Australia
-18.8087777,139.7480153,Australia
-18.8558333,-52.5453383,Brazil
-18.8760397,-52.7127795,Brazil
-18.8829211,-41.9669946,Brazil
-18.9018051,-42.6326229,Brazil
-18.9124702,-69.8293604,Chile
-18.9214842,-48.19424,Brazil
-18.9344112,-49.8296277,Brazil
-18.9474491,141.1728094,Australia
-18.9671365,139.9819634,Australia
-18.9977863,144.9473334,Australia
-19.0010871,25.6821171,Botswana
-19.0593598,-43.96256,Brazil
-19.0988801,134.176003,Australia
-19.1181033,-43.676062,Brazil
-19.1458865,141.2327337,Australia
-19.1471117,-54.7621492,Brazil
-19.1621619,-43.885459,Brazil
-19.1716753,-50.0522907,Brazil
-19.1846901,140.2410645,Australia
-19.1897836,146.6676314,Australia
-19.1931072,-54.9285589,Brazil
-19.2092826,-46.1336906,Brazil
-19.2243139,-42.5073695,Brazil
-19.2258056,-42.3290952,Brazil
-19.2570452,-43.5314871,Brazil
-19.2618363,-40.4548278,Brazil
-19.2808396,-42.4787477,Brazil
-19.289793,-44.660207,Brazil
-19.2979796,135.0850927,Australia
-19.3132203,-69.4264897,Chile
-19.3172133,-48.0747342,Brazil
-19.3262039,-43.9341103,Brazil
-19.3675967,-54.2001132,Brazil
-19.3735456,134.5367214,Australia
-19.3775638,142.8796783,Australia
-19.3925665,146.9686777,Australia
-19.4001994,146.7077475,Australia
-19.4122273,-57.3811439,Brazil
-19.4137167,-44.2649038,Brazil
-19.4896517,-44.3939645,Brazil
-19.5168879,-41.0088666,Brazil
-19.5383625,-54.5312914,Brazil
-19.5529103,-43.7363926,Brazil
-19.5679256,-44.079976,Brazil
-19.5833499,138.7886548,Australia
-19.649097,-69.1246802,Chile
-19.6576062,147.4164991,Australia
-19.6764337,-53.86642,Brazil
-19.678734,-46.3313592,Brazil
-19.6951956,-45.0940517,Brazil
-19.7028374,-44.3126871,Brazil
-19.737186,-69.786796,Chile
-19.7928139,-43.3310169,Brazil
-19.7948834,-48.1642757,Brazil
-19.8214807,-41.4447615,Brazil
-19.9000007,146.5913746,Australia
-19.9106023,-54.3681782,Brazil
-19.9322008,-40.1456379,Brazil
-19.9447607,-43.9166279,Brazil
-19.9538158,136.4200044,Australia
-19.9725358,-47.7729173,Brazil
-19.9821162,-48.2702968,Brazil
-2.0611951,-46.9789985,Brazil
-2.0714638,102.9381368,Indonesia
-2.1595611,104.405955,Indonesia
-2.1967393,37.3576623,Kenya
-2.2078596,37.3683536,Kenya
-2.2530179,121.7569511,Indonesia
-2.2907054,113.8833949,Indonesia
-2.4073369,-80.3659612,Ecuador
-2.5064326,-48.3082602,Brazil
-2.6300735,-54.701212,Brazil
-2.6832795,112.9488502,Indonesia
-2.7950128,-44.3735041,Brazil
-2.7967519,-40.4909652,Brazil
-2.7995234,107.8287211,Indonesia
-2.813868,-40.3886712,Brazil
-2.837874,-58.2148422,Brazil
-2.8395939,114.3642935,Indonesia
-2.8591972,-40.0625368,Brazil
-2.8618258,101.3949573,Indonesia
-2.8706143,-54.6099044,Brazil
-2.8889358,114.3715515,Indonesia
-2.8927444,-41.2640936,Brazil
-2.8946102,103.8507064,Indonesia
-2.8974597,103.3135025,Indonesia
-2.8974965,-40.0069013,Brazil
-2.9220356,-40.1698572,Brazil
-2.9241465,102.9542696,Indonesia
-2.9552801,104.968837,Indonesia
-2.9747492,104.5620172,Indonesia
-2.9884502,-44.9916878,Brazil
-2.989476,106.4740285,Indonesia
-20.0064948,138.568439,Australia
-20.0233998,-43.3997908,Brazil
-20.0318777,-42.2679918,Brazil
-20.0638261,-44.331843,Brazil
-20.0911872,-44.8277597,Brazil
-20.0918411,-54.8494766,Brazil
-20.1235837,-50.6053893,Brazil
-20.1472588,-46.4314887,Brazil
-20.1477875,-55.2545598,Brazil
-20.1481034,140.7488985,Australia
-20.162977,-69.5089779,Chile
-20.1894095,-40.8767433,Brazil
-20.2114642,-69.8726459,Chile
-20.2485626,-46.3670776,Brazil
-20.2540238,141.7205628,Australia
-20.279709,148.5767278,Australia
-20.2811479,-69.7868527,Chile
-20.3034887,119.2566615,Australia
-20.3060505,141.3183714,Australia
-20.3136731,-44.2548005,Brazil
-20.3237024,141.4047933,Australia
-20.3276502,-40.3516252,Brazil
-20.3726009,139.2750485,Australia
-20.3771662,-45.6519297,Brazil
-20.4148332,-52.8850837,Brazil
-20.4206949,-47.7549009,Brazil
-20.4286014,-51.0709253,Brazil
-20.4303973,-44.1074775,Brazil
-20.4465222,-44.2622004,Brazil
-20.4473914,-55.7901816,Brazil
-20.4858565,-43.1987668,Brazil
-20.4966634,-45.4329407,Brazil
-20.5082706,-54.6292134,Brazil
-20.5172314,-43.2904883,Brazil
-20.5497414,-48.5862419,Brazil
-20.5763545,-48.5856677,Brazil
-20.5973784,-47.6441084,Brazil
-20.6094279,22.4481636,Botswana
-20.6129689,-66.8484295,Bolivia
