Latitude,Longitude,Pays,Ville_Proche
-17.8192202,-49.5077956,Brazil,Morrinhos
-17.8232582,122.6016175,Australia,Broome
-17.8313511,-40.3534774,Brazil,Nanuque
-17.8763937,-51.9020587,Brazil,Jataí
-17.8764496,-71.016522,Peru,Ilo
-17.8848761,-47.0555216,Brazil,Paracatu
-17.9053187,-54.6918418,Brazil,Rondonópolis
-17.9708723,145.7775222,Australia,Innisfail
-17.9709054,-50.6780272,Brazil,Rio Verde
-17.9842254,-54.2288612,Brazil,Rondonópolis
-17.9956352,-45.8399609,Brazil,Pirapora
-18.0002244,-49.6267063,Brazil,Itumbiara
-18.0065853,-43.3847697,Brazil,Diamantina
-18.015992,-54.4518188,Brazil,Rondonópolis
-18.09343,144.41197,Australia,Georgetown
-18.1076848,140.3636443,Australia,Karumba
-18.1201438,-46.8250619,Brazil,Paracatu
-18.1232877,-44.2847964,Brazil,Curvelo
-18.1736724,-49.7577828,Brazil,Itumbiara
-18.208333,-49.7547993,Brazil,Itumbiara
-18.2381392,-47.8374356,Brazil,Catalão
-18.2571048,-42.8151061,Brazil,Guanhães
-18.28816,143.57426,Australia,Georgetown
-18.2900433,-44.2186979,Brazil,Curvelo
-18.3734221,-44.5226939,Brazil,Curvelo
-18.3820679,-46.8889161,Brazil,Catalão
-18.3959145,-47.180872,Brazil,Catalão
-18.4328667,127.4397329,Australia,Halls Creek
-18.4703645,-52.6100241,Brazil,Mineiros
-18.4743978,-39.7625678,Brazil,São Mateus
-18.5261599,136.0041194,Australia,Camooweal
-18.5725726,125.7624823,Australia,Halls Creek
-18.5781494,-43.572052,Brazil,Diamantina
-18.5889569,136.0352723,Australia,Camooweal
-18.6064523,-43.3811667,Brazil,Diamantina
-18.6120874,-52.9678088,Brazil,Mineiros
-18.6271879,-51.605683,Brazil,Jataí
-18.6351735,126.9872367,Australia,Halls Creek
-18.6406818,-66.3401803,Bolivia,Uncia
-18.6415701,-49.7012459,Brazil,Ituiutaba
-18.6749841,16.8964359,Namibia,Omuthiya
-18.6841742,21.8924206,Botswana,Muhembo
-18.7014892,-47.7953573,Brazil,Araguari
-18.7163054,-39.836874,Brazil,São Mateus
-18.7223017,-39.8711791,Brazil,São Mateus
-18.74229,140.5035871,Australia,Karumba
-18.7438077,126.1621271,Australia,Halls Creek
-18.7545247,-39.7530911,Brazil,São Mateus
-18.7816551,-70.1874822,Chile,Arica
-18.7921611,134.03108,Australia,Camooweal
-18.8087777,139.7480153,Australia,Burketown
-18.8558333,-52.5453383,Brazil,Jataí
-18.8760397,-52.7127795,Brazil,Mineiros
-18.8829211,-41.9669946,Brazil,Governador Valadares
-18.9018051,-42.6326229,Brazil,Guanhães
-18.9124702,-69.8293604,Chile,Cuya
-18.9214842,-48.19424,Brazil,Uberlândia
-18.9344112,-49.8296277,Brazil,Ituiutaba
-18.9474491,141.1728094,Australia,Karumba
-18.9671365,139.9819634,Australia,Burketown
-18.9977863,144.9473334,Australia,Ingham
-19.0010871,25.6821171,Botswana,Hwange
-19.0593598,-43.96256,Brazil,Sete Lagoas
-19.0988801,134.176003,Australia,Camooweal
-19.1181033,-43.676062,Brazil,Sete Lagoas
-19.1458865,141.2327337,Australia,Karumba
-19.1471117,-54.7621492,Brazil,Campo Grande
-19.1621619,-43.885459,Brazil,Sete Lagoas
-19.1716753,-50.0522907,Brazil,Iturama
-19.1846901,140.2410645,Australia,Cloncurry
-19.1897836,146.6676314,Australia,Townsville
-19.1931072,-54.9285589,Brazil,Campo Grande
-19.2092826,-46.1336906,Brazil,Araxá
-19.2243139,-42.5073695,Brazil,Ipatinga
-19.2258056,-42.3290952,Brazil,Ipatinga
-19.2570452,-43.5314871,Brazil,Sete Lagoas
-19.2618363,-40.4548278,Brazil,Linhares
-19.2808396,-42.4787477,Brazil,Ipatinga
-19.289793,-44.660207,Brazil,Sete Lagoas
-19.2979796,135.0850927,Australia,Camooweal
-19.3132203,-69.4264897,Chile,Cuya
-19.3172133,-48.0747342,Brazil,Uberlândia
-19.3262039,-43.9341103,Brazil,Sete Lagoas
-19.3675967,-54.2001132,Brazil,Campo Grande
-19.3735456,134.5367214,Australia,Camooweal
-19.3775638,142.8796783,Australia,Georgetown
-19.3925665,146.9686777,Australia,Townsville
-19.4001994,146.7077475,Australia,Townsville
-19.4122273,-57.3811439,Brazil,Corumbá
-19.4137167,-44.2649038,Brazil,Sete Lagoas
-19.4896517,-44.3939645,Brazil,Sete Lagoas
-19.5168879,-41.0088666,Brazil,Linhares
-19.5383625,-54.5312914,Brazil,Campo Grande
-19.5529103,-43.7363926,Brazil,Belo Horizonte
-19.5679256,-44.079976,Brazil,Sete Lagoas
-19.5833499,138.7886548,Australia,Camooweal
-19.649097,-69.1246802,Chile,Llica
-19.6576062,147.4164991,Australia,Ayr
-19.6764337,-53.86642,Brazil,Campo Grande
-19.678734,-46.3313592,Brazil,Araxá
-19.6951956,-45.0940517,Brazil,Divinópolis
-19.7028374,-44.3126871,Brazil,Sete Lagoas
-19.737186,-69.786796,Chile,Pozo Almonte
-19.7928139,-43.3310169,Brazil,Nova Lima
-19.7948834,-48.1642757,Brazil,Uberaba
-19.8214807,-41.4447615,Brazil,Caratinga
-19.9000007,146.5913746,Australia,Charters Towers
-19.9106023,-54.3681782,Brazil,Campo Grande
-19.9322008,-40.1456379,Brazil,Vitória
-19.9447607,-43.9166279,Brazil,Belo Horizonte
-19.9538158,136.4200044,Australia,Camooweal
-19.9725358,-47.7729173,Brazil,Uberaba
-19.9821162,-48.2702968,Brazil,Uberaba
-2.0611951,-46.9789985,Brazil,Capitão Poço
-2.0714638,102.9381368,Indonesia,Jambi
-2.1595611,104.405955,Indonesia,Palembang
-2.1967393,37.3576623,Kenya,Wote
-2.2078596,37.3683536,Kenya,Wote
-2.2530179,121.7569511,Indonesia,Poso
-2.2907054,113.8833949,Indonesia,Palangkaraya
-2.4073369,-80.3659612,Ecuador,Guayaquil
-2.5064326,-48.3082602,Brazil,Paragominas
-2.6300735,-54.701212,Brazil,Santarém
-2.6832795,112.9488502,Indonesia,Sampit
-2.7950128,-44.3735041,Brazil,Rosário
-2.7967519,-40.4909652,Brazil,Camocim
-2.7995234,107.8287211,Indonesia,Tanjungpandan
-2.813868,-40.3886712,Brazil,Acaraú
-2.837874,-58.2148422,Brazil,Itacoatiara
-2.8395939,114.3642935,Indonesia,Kuala Kapuas
-2.8591972,-40.0625368,Brazil,Acaraú
-2.8618258,101.3949573,Indonesia,Sungai Penuh
-2.8706143,-54.6099044,Brazil,Santarém
-2.8889358,114.3715515,Indonesia,Kuala Kapuas
-2.8927444,-41.2640936,Brazil,Camocim
-2.8946102,103.8507064,Indonesia,Prabumulih
-2.8974597,103.3135025,Indonesia,Lahat
-2.8974965,-40.0069013,Brazil,Acaraú
-2.9220356,-40.1698572,Brazil,Acaraú
-2.9241465,102.9542696,Indonesia,Lahat
-2.9552801,104.968837,Indonesia,Palembang
-2.9747492,104.5620172,Indonesia,Palembang
-2.9884502,-44.9916878,Brazil,Viana
-2.989476,106.4740285,Indonesia,Pangkalpinang
-20.0064948,138.568439,Australia,Camooweal
-20.0233998,-43.3997908,Brazil,Nova Lima
-20.0318777,-42.2679918,Brazil,Caratinga
-20.0638261,-44.331843,Brazil,Itaúna
-20.0911872,-44.8277597,Brazil,Divinópolis
-20.0918411,-54.8494766,Brazil,Campo Grande
-20.1235837,-50.6053893,Brazil,Fernandópolis
-20.1472588,-46.4314887,Brazil,Passos
-20.1477875,-55.2545598,Brazil,Aquidauana
-20.1481034,140.7488985,Australia,Cloncurry
-20.162977,-69.5089779,Chile,Pozo Almonte
-20.1894095,-40.8767433,Brazil,Vitória
-20.2114642,-69.8726459,Chile,Pozo Almonte
-20.2485626,-46.3670776,Brazil,Passos
-20.2540238,141.7205628,Australia,Cloncurry
-20.279709,148.5767278,Australia,Proserpine
-20.2811479,-69.7868527,Chile,Pozo Almonte
-20.3034887,119.2566615,Australia,Port Hedland
-20.3060505,141.3183714,Australia,Cloncurry
-20.3136731,-44.2548005,Brazil,Itaúna
-20.3237024,141.4047933,Australia,Cloncurry
-20.3276502,-40.3516252,Brazil,Vitória
-20.3726009,139.2750485,Australia,Mount Isa
-20.3771662,-45.6519297,Brazil,Formiga
-20.4148332,-52.8850837,Brazil,Três Lagoas
-20.4206949,-47.7549009,Brazil,Franca
-20.4286014,-51.0709253,Brazil,Andradina
-20.4303973,-44.1074775,Brazil,Conselheiro Lafaiete
-20.4465222,-44.2622004,Brazil,Itaúna
-20.4473914,-55.7901816,Brazil,Aquidauana
-20.4858565,-43.1987668,Brazil,Ponte Nova
-20.4966634,-45.4329407,Brazil,Formiga
-20.5082706,-54.6292134,Brazil,Campo Grande
-20.5172314,-43.2904883,Brazil,Ponte Nova
-20.5497414,-48.5862419,Brazil,Barretos
-20.5763545,-48.5856677,Brazil,Barretos
-20.5973784,-47.6441084,Brazil,Franca
-20.6094279,22.4481636,Botswana,Tsau
-20.6129689,-66.8484295,Bolivia,Uyuni
-20.6305903,-46.8614075,Brazil,Passos
-20.6389098,-49.6509941,Brazil,São José do Rio Prêto
-20.6503318,-49.3852774,Brazil,São José do Rio Prêto
-20.6525385,-55.8983129,Brazil,Aquidauana
-20.6553295,26.6674957,Botswana,Sowa Town
-20.6652209,-50.38651,Brazil,Fernandópolis
-20.6732202,-41.2061226,Brazil,Cachoeiro de Itapemirim
-20.6793991,-50.1505434,Brazil,Fernandópolis
-20.6865829,148.6241203,Australia,Proserpine
-20.6873109,-69.6352211,Chile,Lagunas
-20.7076165,-70.1809162,Chile,Iquique
-20.7380919,140.2500109,Australia,Cloncurry
-20.7593777,-56.6653926,Brazil,Jardim
-20.778093,139.4973469,Australia,Mount Isa
-20.7946639,-42.4541974,Brazil,Muriaé
-20.7991306,-49.416594,Brazil,São José do Rio Prêto
-20.814863,-49.302373,Brazil,São José do Rio Prêto
-20.8259246,-42.6036481,Brazil,Muriaé
-20.837636,-49.8484048,Brazil,São José do Rio Prêto
-20.849542,-49.6230248,Brazil,São José do Rio Prêto
-20.8645221,-40.8812407,Brazil,Cachoeiro de Itapemirim
-20.8749472,-55.8875796,Brazil,Aquidauana
-20.8843984,-48.6645958,Brazil,Barretos
-20.9171286,-44.2365059,Brazil,São João del Rei
-20.9229248,-55.7817265,Brazil,Aquidauana
-20.9247526,149.0477119,Australia,Mackay
-20.9551454,134.2096419,Australia,Alice Springs
-20.9584553,143.0363735,Australia,Richmond
-21.0032748,-50.6847274,Brazil,Araçatuba
-21.0214778,-54.9379841,Brazil,Maracaju
-21.09422,-44.4788173,Brazil,São João del Rei
-21.0981666,-45.089573,Brazil,Lavras
-21.1168294,-41.9033334,Brazil,Miracema
-21.1357748,-55.8204175,Brazil,Jardim
-21.1671808,-51.4776551,Brazil,Andradina
-21.1722141,-42.2286344,Brazil,Muriaé
-21.1768229,119.718094,Australia,Port Hedland
-21.1877013,-46.9705247,Brazil,Guaxupé
-21.191056,-48.9120253,Brazil,Catanduva
-21.1967434,-48.1659776,Brazil,Jabuticabal
-21.199802,-54.8937303,Brazil,Maracaju
-21.2013222,-54.5582423,Brazil,Maracaju
-21.2174144,141.9718463,Australia,Richmond
-21.2320709,-45.2322096,Brazil,Lavras
-21.2433715,-56.4498743,Brazil,Jardim
-21.2644378,26.3360523,Botswana,Sowa Town
-21.2723157,-51.6667546,Brazil,Andradina
-21.2926683,55.805558,France,Saint-Benoît
-21.299908,-50.730388,Brazil,Araçatuba
-21.3245335,117.2210412,Australia,Roebourne
-21.3356889,-43.0443461,Brazil,Ubá
-21.3740044,142.8065827,Australia,Richmond
-21.3990824,-45.9494523,Brazil,Poços de Caldas
-21.4404777,-44.9541587,Brazil,Lavras
-21.4536252,-50.1634788,Brazil,Penápolis
-21.4608983,-49.7527725,Brazil,Penápolis
-21.4746488,-46.8069722,Brazil,Guaxupé
-21.4764901,141.7156791,Australia,Cloncurry
-21.4955758,148.8037151,Australia,Mackay
-21.4965479,-56.454725,Brazil,Jardim
-21.5004378,143.5767799,Australia,Hughenden
-21.5092972,144.6497065,Australia,Hughenden
-21.518368,-50.298227,Brazil,Penápolis
-21.5186075,143.5592995,Australia,Richmond
-21.527135,-47.6428605,Brazil,Ribeirão Prêto
-21.5276668,-47.642258,Brazil,Ribeirão Prêto
-21.5390084,118.7694353,Australia,Port Hedland
-21.5475709,-50.7100847,Brazil,Araçatuba
-21.5608234,115.963289,Australia,Pannawonica
-21.5715335,-46.3183352,Brazil,Poços de Caldas
-21.5731398,-55.2161613,Brazil,Maracaju
-21.5830483,149.2530742,Australia,Mackay
-21.5856482,-44.7123985,Brazil,Lavras
-21.6033411,-51.1613556,Brazil,Presidente Prudente
-21.606495,140.3980234,Australia,Cloncurry
-21.6125437,-47.1843811,Brazil,Piraçununga
-21.6149038,-51.1791627,Brazil,Presidente Prudente
-21.6439013,-54.7679763,Brazil,Maracaju
-21.7339538,-45.55419,Brazil,Pouso Alegre
-21.7579106,133.6872677,Australia,Alice Springs
-21.7590606,-52.1055577,Brazil,Presidente Prudente
-21.7609314,-43.6014197,Brazil,Juiz de Fora
-21.7990865,115.7442605,Australia,Pannawonica
-21.8002347,115.1032442,Australia,Onslow
-21.8078364,-49.6306985,Brazil,Garça
-21.8126725,-51.4735538,Brazil,Presidente Prudente
-21.8567183,-50.6879744,Brazil,Tupã
-21.8719499,148.461566,Australia,Moranbah
-21.8775561,-50.6625441,Brazil,Tupã
-21.9181731,-42.299438,Brazil,Nova Friburgo
-21.9406049,-40.9872812,Brazil,Campos
